Table 5
Descriptive Statistics by Condition
================================================================================================================================================
Setup       Environment  SPL_dB  variable    n  zero_yield_ratio  median    mad       iqr       min       max       ci_low    ci_high   cv      
Integrated  Ind.         90      DC_Voltage  3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
Integrated  Ind.         100     DC_Voltage  3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
Integrated  Traf.        60      DC_Voltage  3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
Integrated  Traf.        70      DC_Voltage  3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
Integrated  Traf.        80      DC_Voltage  3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
Integrated  Traf.        90      DC_Voltage  3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
Integrated  Traf.        100     DC_Voltage  3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
Standalone  Comm.        60      DC_Voltage  3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
Standalone  Comm.        70      DC_Voltage  3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
Standalone  Comm.        80      DC_Voltage  3  0.000             0.001     0.000     0.0005    0.001     0.002     0.001     0.002     0.433   
Standalone  Comm.        90      DC_Voltage  3  0.000             0.002     0.000     0.0005    0.002     0.003     0.002     0.003     0.247   
Standalone  Comm.        100     DC_Voltage  3  0.000             0.192     0.000     0.006     0.192     0.203     0.192     0.203     0.032   
Standalone  Ind.         60      DC_Voltage  3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
Standalone  Ind.         70      DC_Voltage  3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
Standalone  Ind.         80      DC_Voltage  3  0.000             0.001     0.000     0.001     0.001     0.003     0.001     0.003     0.693   
Standalone  Ind.         90      DC_Voltage  3  0.000             0.047     0.003     0.011     0.029     0.050     0.029     0.050     0.270   
Standalone  Ind.         100     DC_Voltage  3  0.000             1.099     0.033     0.042     1.049     1.132     1.049     1.132     0.038   
Standalone  Traf.        60      DC_Voltage  3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
Standalone  Traf.        70      DC_Voltage  3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
Standalone  Traf.        80      DC_Voltage  3  0.000             0.001     0.000     0.000     0.001     0.001     0.001     0.001     0.000   
Standalone  Traf.        90      DC_Voltage  3  0.000             0.002     0.000     0.000     0.002     0.002     0.002     0.002     0.000   
Standalone  Traf.        100     DC_Voltage  3  0.000             0.064     0.000     0.009     0.064     0.082     0.064     0.082     0.148   
================================================================================================================================================
